Season,Lg,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2018-19,NBA,26.26,25.41,25.09,23.58,23.09,22.61,22.4,21.6,20.63,20.6
2017-18,NBA,26.53,26.23,23.64,22.23,22.22,21.39,20,19.43,19.25,18.95
2016-17,NBA,25.24,24.24,23.95,23.5,21.78,20.77,19.61,19.48,19.47,19.38
2015-16,NBA,24.52,23.06,22.22,21.01,20.76,20.2,20.2,20.13,19.67,19.51
2014-15,NBA,24.47,23.98,21.42,21.05,20.75,20.73,19.06,18.64,18.52,18.49
2013-14,NBA,22.33,21.56,20.71,20.41,20.1,19.6,19.55,19.36,19.04,18.83
2012-13,NBA,26.67,22,20.73,20.23,19.34,19.13,19.09,19.02,18.73,18.7
2011-12,NBA,22.82,21.9,19.79,18.96,18.75,18.29,18.29,18.28,18.26,18.06
2010-11,NBA,24.06,23.63,22.1,21.83,20.05,19.66,19.31,19.17,18.93,18.61
2009-10,NBA,22.25,22,21.76,21.47,20.34,19.36,18.95,18.37,18.32,18.17
2008-09,NBA,22.78,21.83,20.97,20.71,20.63,20.25,19.3,19.1,19.02,18.89
2007-08,NBA,21.67,21.01,20.35,19.7,19.61,19.48,19.31,19.28,19.15,18.52
2006-07,NBA,20.68,20.68,20.59,20.55,20.23,19.52,19.48,19.39,19.25,18.76
2005-06,NBA,21.01,20.94,20.9,19.92,19.6,19.34,18.98,18.75,18.7,18.11
2004-05,NBA,23.95,22.19,20.58,20.28,19.79,19.79,19.43,18.9,18.27,17.8
2003-04,NBA,20.8,20.12,19.08,19.01,18.98,18.37,18.28,17.66,17.39,16.8
2002-03,NBA,23.24,20.06,18.99,18.8,18.29,17.56,17.37,17.23,17.09,16.04
2001-02,NBA,21.76,0.96,18,17.84,17.55,17.51,17.49,17.33,17.15,16.98
2000-01,NBA,21.93,20.54,20.42,20.41,18.95,18.14,17.97,17.76,17.54,17.03
1999-00,NBA,21.73,21.23,20.71,19.21,18.71,18.49,18.29,18.26,18.14,17.88
1998-99,NBA,23.7,19.77,19.53,19.52,18.8,18.79,18.76,18.49,18.19,17.97
1997-98,NBA,24.08,21.79,20.94,18.8,18.65,18.49,18.2,18.17,17.98,17.71
1996-97,NBA,25.61,20.65,20.03,19.95,19.39,19.1,18.82,18.64,18.56,18.4
1995-96,NBA,26.56,23.78,21.33,20.29,19.32,19.11,18.55,18.44,18.43,18.11
1994-95,NBA,29.73,19.94,19.89,19.8,19.35,19.23,19.12,18.25,17.95,17.93
1993-94,NBA,25.74,19.46,19.43,19.17,18.91,18.65,18.64,18.54,18.46,18.14
1992-93,NBA,25.99,20.63,20.36,19.88,19.76,19.53,18.85,18.69,18.67,18.15
1991-92,NBA,26.19,22.57,21.2,20.57,18.63,18.16,17.84,17.65,17.37,17.26
1990-91,NBA,21.34,19.89,19.64,19.34,19.3,19.05,18.97,18.26,18.09,17.72
1989-90,NBA,20.27,19.45,18.95,18.55,18.45,18.37,18.34,18.21,17.56,17.33
1988-89,NBA,20.13,19.77,19.76,18.38,18.09,18,17.89,17.42,17.19,17.11
1987-88,NBA,22.59,21.72,19.46,18.75,18.6,18.34,18.31,17.94,17.73,17.41
1986-87,NBA,21.14,20.84,20.44,19.59,19.34,18.04,17.99,17.55,17.47,17.38
1985-86,NBA,21.18,19.73,19.43,19.37,18.99,18.66,18.36,18.33,18.22,18.02
1984-85,NBA,20.17,19.82,19.67,19.5,18.89,18.67,18.59,18.26,17.71,17.45
1983-84,NBA,21.11,20.63,19.01,18.64,18.37,18.25,17.81,17.52,17.5,17.43
1982-83,NBA,21.56,19.61,19.19,18.73,18.06,17.98,17.83,17.37,17.06,16.84
1981-82,NBA,20.1,20.04,19.34,19.31,18.82,18.81,18.74,18.48,18.4,17.86
1980-81,NBA,21.38,21.07,20.27,19.26,17.66,17.65,17.6,17.4,17.09,16.93
1979-80,NBA,22.98,22.63,20.93,20.37,19.56,18.46,18.17,17.41,17.35,17.1
1978-79,NBA,23.21,20.7,20.42,18.58,18.55,18.44,18.02,17.97,17.89,17.67
1977-78,NBA,22.3,20.66,19.86,19.35,19.01,18.09,18.08,17.88,17.65,17.54
1976-77,NBA,23.38,22.83,21.22,19.36,18.87,18.66,18.4,18.14,17.83,17.17
1975-76,NBA,20.59,19.75,19.62,19.54,18.93,18.42,18.26,17.21,17.02,16.97
